audio_index,alignment_1,alignment_2,alignment_3,alignment_4,alignment_5,agreement_1,agreement_2,agreement_3,agreement_4,agreement_5,final_1,final_2,final_3,final_4,final_5,best_option
1,0.0461,0.0476,0.0055,0.0461,0.0461,0.9706,0.7303,0.0,0.9706,0.9706,0.2865,0.2251,0.0041,0.2865,0.2865,1
2,0.5461,0.6737,0.6688,0.0033,0.6107,0.6536,0.9016,0.8461,0.0,0.8461,0.5741,0.733,0.7149,0.0024,0.6719,2
3,0.0055,0.0325,0.0325,0.0315,0.0325,0.0,1.0,1.0,1.0,1.0,0.0041,0.2841,0.2841,0.2833,0.2841,2
4,0.5415,0.0038,0.5112,0.5415,0.5415,1.0,0.0,0.9667,1.0,1.0,0.6607,0.0028,0.6296,0.6607,0.6607,1
5,0.5669,0.5737,0.0044,0.5985,0.4972,0.8409,0.8409,0.0,0.8202,0.7441,0.6381,0.6432,0.0033,0.6561,0.5614,4
6,0.1902,0.228,0.2908,0.2214,0.0018,0.6417,0.6127,0.6972,0.6972,0.0,0.3076,0.328,0.3965,0.3451,0.0013,3
7,0.57,0.6011,0.0035,0.443,0.5766,0.7388,0.7306,0.0,0.724,0.7388,0.6139,0.6348,0.0026,0.5161,0.6188,2
8,0.5338,0.0032,0.5351,0.5661,0.4348,0.8592,0.0,0.8592,0.8887,0.6767,0.6184,0.0024,0.6194,0.65,0.4977,4
9,0.6458,0.6708,0.562,0.0027,0.6427,0.931,0.871,0.6763,0.0,0.871,0.72,0.7229,0.5917,0.002,0.7021,2
10,0.6776,0.0027,0.6391,0.3479,0.676,0.7817,0.0,0.7817,0.5833,0.8112,0.7047,0.002,0.6762,0.4091,0.7112,5
11,0.6275,0.4841,0.6234,0.6285,0.0039,0.9231,0.6585,0.9,0.9,0.0,0.7044,0.5294,0.6953,0.6991,0.0029,1
12,0.0023,0.6247,0.5845,0.5878,0.5845,0.0,0.8112,0.88,0.88,0.88,0.0017,0.6732,0.6613,0.6638,0.6613,2
13,0.3268,0.0023,0.317,0.317,0.3531,0.8569,0.0,0.9215,0.9215,0.9215,0.4646,0.0017,0.4742,0.4742,0.5009,5
14,0.5768,0.5784,0.5784,0.4776,0.0047,0.9565,0.8824,0.9361,0.9361,0.0,0.6755,0.6574,0.6714,0.5968,0.0035,1
15,0.5631,0.5409,0.62,0.004,0.5716,0.8734,0.8481,0.8734,0.0,0.8554,0.6438,0.6208,0.6859,0.003,0.6454,3
16,0.3827,0.3862,0.0036,0.3917,0.2761,0.7323,0.783,0.0,0.7323,0.6159,0.4736,0.4894,0.0027,0.4803,0.3644,2
17,0.6855,0.58,0.605,0.0045,0.5029,0.6796,0.72,0.72,0.0,0.6585,0.684,0.6164,0.6349,0.0033,0.5434,1
18,0.0057,0.0495,0.0511,0.049,0.0547,0.0,0.749,0.7005,0.749,0.7094,0.0042,0.2314,0.2199,0.231,0.2249,2
19,0.6464,0.712,0.004,0.5999,0.6394,0.7811,0.8373,0.0,0.7743,0.8373,0.6814,0.7446,0.003,0.6452,0.6909,2
20,0.5619,0.0058,0.5796,0.5565,0.5417,0.8441,0.0,0.8809,0.8809,0.82,0.6353,0.0043,0.6579,0.6408,0.6141,3
21,0.4757,0.4935,0.6963,0.0039,0.4766,0.6675,0.6817,0.676,0.0,0.6817,0.5256,0.5424,0.691,0.0029,0.5299,3
22,0.0055,0.6085,0.5623,0.6115,0.5616,0.0,0.7057,0.6937,0.686,0.7057,0.0041,0.6338,0.5965,0.6309,0.5991,2
23,0.5697,0.5941,0.6408,0.0034,0.6476,0.652,0.6889,0.6889,0.0,0.6582,0.5911,0.6187,0.6533,0.0025,0.6504,3
24,0.474,0.463,0.004,0.54,0.4626,0.7241,0.771,0.0,0.771,0.771,0.539,0.5431,0.003,0.6001,0.5428,4
25,0.5013,0.5065,0.4999,0.5946,0.0037,0.8116,0.7939,0.8062,0.8062,0.0,0.582,0.5812,0.5795,0.6496,0.0027,4
26,0.4634,0.6695,0.0049,0.6203,0.6289,0.7568,0.8477,0.0,0.8279,0.816,0.5397,0.7158,0.0036,0.6743,0.6775,2
27,0.5847,0.0043,0.6463,0.5609,0.5745,0.6706,0.0,0.7106,0.6939,0.7106,0.607,0.0032,0.663,0.5955,0.6099,3
28,0.5169,0.5223,0.516,0.5482,0.0037,0.7986,0.7832,0.7986,0.779,0.0,0.5901,0.5901,0.5895,0.6082,0.0027,4
29,0.6888,0.0043,0.6244,0.5995,0.5725,0.7756,0.0,0.7288,0.7756,0.7292,0.7114,0.0032,0.6515,0.6453,0.6132,1
30,0.597,0.5962,0.0051,0.6185,0.6377,0.846,0.8277,0.0,0.8294,0.846,0.6617,0.6564,0.0038,0.6733,0.6919,5
31,0.313,0.0062,0.2719,0.2735,0.2707,0.7842,0.0,0.8911,0.8911,0.8911,0.4355,0.0046,0.4329,0.4341,0.432,1
32,0.74,0.6031,0.0034,0.6365,0.5824,0.7195,0.7195,0.0,0.6594,0.7195,0.7347,0.6334,0.0025,0.6425,0.618,1
33,0.5347,0.4812,0.5544,0.0038,0.5575,0.857,0.8427,0.9211,0.0,0.9011,0.6185,0.5752,0.6497,0.0028,0.6468,3
34,0.0058,0.0658,0.0612,0.0614,0.0623,0.0,0.7258,0.6984,0.7258,0.643,0.0043,0.2374,0.2269,0.2341,0.2133,2
35,0.418,0.0042,0.4164,0.4238,0.4483,0.7943,0.0,0.7765,0.7637,0.7943,0.5158,0.0031,0.51,0.5122,0.5383,5
36,0.0372,0.0396,0.0081,0.038,0.0369,0.6656,0.6656,0.0,0.6018,0.6516,0.2006,0.2024,0.006,0.1846,0.1967,2
37,0.544,0.4766,0.5025,0.4766,0.0043,0.8444,0.8444,0.8121,0.8444,0.0,0.6221,0.5722,0.583,0.5722,0.0032,1
38,0.5762,0.6012,0.0043,0.6439,0.594,0.8536,0.8368,0.0,0.8749,0.8749,0.6483,0.6625,0.0032,0.704,0.667,4
39,0.003,0.4709,0.5054,0.6269,0.44,0.0,0.7259,0.7259,0.6811,0.7094,0.0022,0.5372,0.5627,0.641,0.51,4
40,0.5629,0.4605,0.6296,0.5646,0.0045,0.95,0.7341,0.95,0.9744,0.0,0.6635,0.5316,0.7129,0.6711,0.0033,3
41,0.6007,0.0034,0.6029,0.6312,0.6007,0.9667,0.0,0.9667,0.9667,0.9667,0.6959,0.0025,0.6975,0.7184,0.6959,4
42,0.5207,0.3925,0.3925,0.3967,0.0028,0.8966,0.8966,0.8966,0.8966,0.0,0.6184,0.5236,0.5236,0.5267,0.0021,1
43,0.7086,0.5917,0.0035,0.6234,0.6195,0.9375,0.7692,0.0,0.9375,0.9375,0.7681,0.6379,0.0026,0.7051,0.7022,1
44,0.1048,0.1053,0.0046,0.1126,0.1071,0.8788,0.7195,0.0,0.8788,0.8788,0.306,0.265,0.0034,0.3118,0.3077,4
45,0.0648,0.0679,0.0055,0.0641,0.0622,0.9231,0.9231,0.0,0.9231,0.6575,0.288,0.2903,0.0041,0.2874,0.217,2
46,0.4919,0.5912,0.5394,0.004,0.536,0.7603,0.9211,0.9211,0.0,0.9211,0.5617,0.677,0.6386,0.003,0.6361,2
47,0.6119,0.6047,0.5327,0.0043,0.6119,0.8947,0.8947,0.7798,0.0,0.8947,0.6854,0.6801,0.5969,0.0032,0.6854,1
48,0.0048,0.435,0.4496,0.4685,0.4788,0.0,0.8147,0.7537,0.8431,0.8431,0.0036,0.5337,0.5287,0.5659,0.5735,5
49,0.0,0.0,0.4864,0.0045,0.5389,0.0,0.0,0.9473,0.0,0.9473,0.0,0.0,0.6062,0.0033,0.6451,5
50,0.422,0.445,0.4476,0.0092,0.4006,0.7323,0.8439,0.8439,0.0,0.8064,0.5027,0.5487,0.5506,0.0068,0.5061,3
51,0.0051,0.671,0.6952,0.6902,0.6759,0.0,0.9333,0.9333,0.9333,0.9333,0.0038,0.7392,0.7571,0.7534,0.7428,3
52,0.125,0.1193,0.1142,0.1274,0.1232,0.8451,0.7742,0.785,0.8181,0.8181,0.3122,0.2896,0.2886,0.307,0.3039,1
53,0.051,0.051,0.051,0.0504,0.051,1.0,1.0,1.0,1.0,0.7413,0.2977,0.2977,0.2977,0.2973,0.2305,1
54,0.6803,0.476,0.6833,0.476,0.6592,0.9032,0.9655,0.9333,0.9655,0.9655,0.7383,0.6033,0.7483,0.6033,0.7388,3
55,0.7307,0.7072,0.7325,0.7325,0.7082,0.9744,0.9744,0.9744,0.9744,0.9744,0.7941,0.7767,0.7954,0.7954,0.7774,3
56,0.4142,0.4018,0.4239,0.4239,0.4018,0.9168,0.8806,0.8824,0.8824,0.8806,0.5449,0.5263,0.5431,0.5431,0.5263,1
57,0.6957,0.6873,0.6873,0.7106,0.7106,0.9767,1.0,1.0,1.0,1.0,0.7688,0.7686,0.7686,0.7858,0.7858,4
58,0.1793,0.1733,0.1717,0.164,0.157,0.8693,0.8693,0.8886,0.833,0.8118,0.3587,0.3543,0.3581,0.3379,0.3272,1
59,0.4008,0.4455,0.5287,0.5062,0.5073,0.8784,0.9041,0.876,0.8406,0.8657,0.525,0.5647,0.619,0.5931,0.6005,3
60,0.7053,0.386,0.6996,0.6932,0.6932,0.966,0.5263,0.9342,0.966,0.966,0.7731,0.4225,0.7606,0.7641,0.7641,1
61,0.5717,0.5726,0.5847,0.5843,0.5717,0.9795,0.9695,0.9794,0.9794,0.9795,0.6777,0.6758,0.6873,0.687,0.6777,3
62,0.6039,0.6402,0.707,0.707,0.6814,0.9306,0.9296,0.9079,0.9079,0.9296,0.6888,0.7154,0.7592,0.7592,0.7459,3
63,0.4216,0.4244,0.4218,0.4216,0.4212,0.9881,0.9765,0.9881,0.9881,0.9762,0.5689,0.5679,0.569,0.5689,0.5655,3
64,0.7456,0.7679,0.7671,0.748,0.7671,0.9557,0.9551,0.9341,0.9662,0.9662,0.8002,0.8166,0.8105,0.8047,0.8189,5
65,0.7674,0.7585,0.7566,0.7585,0.7477,0.9219,0.9594,0.9219,0.9594,0.9594,0.8076,0.8107,0.7996,0.8107,0.8027,2
66,0.7303,0.7288,0.7293,0.6909,0.6945,0.9884,0.977,0.9884,0.8384,0.9884,0.7974,0.7933,0.7967,0.7292,0.7709,1
67,0.4699,0.6525,0.7005,0.6525,0.6525,0.7888,1.0,1.0,1.0,1.0,0.5528,0.7429,0.7784,0.7429,0.7429,3
68,0.4343,0.1678,0.4372,0.5127,0.539,0.9004,0.4388,0.8827,0.8827,0.8181,0.5555,0.2383,0.553,0.6089,0.6116,5
69,0.647,0.3427,0.7089,0.6797,0.6568,0.8837,0.6514,0.8019,0.8408,0.8408,0.7085,0.423,0.7331,0.7216,0.7046,3
70,0.5248,0.2469,0.5248,0.5102,0.5248,1.0,0.5979,1.0,1.0,1.0,0.6484,0.3382,0.6484,0.6375,0.6484,1
71,0.167,0.5458,0.5193,0.6435,0.5214,0.4853,0.927,0.927,0.8871,0.927,0.2498,0.6449,0.6253,0.7068,0.6269,4
72,0.535,0.535,0.535,0.4804,0.5495,1.0,1.0,1.0,0.9053,1.0,0.6559,0.6559,0.6559,0.5909,0.6666,5
73,0.5195,0.5195,0.5195,0.3862,0.5685,0.9187,0.9187,0.9187,0.6572,0.8496,0.6233,0.6233,0.6233,0.4567,0.6416,5
74,0.601,0.6097,0.6115,0.6025,0.6115,0.986,0.993,0.993,0.972,0.993,0.7011,0.7094,0.7107,0.6986,0.7107,3
75,0.6249,0.6118,0.274,0.6118,0.6249,1.0,1.0,0.6787,1.0,1.0,0.7224,0.7127,0.3792,0.7127,0.7224,1
76,0.496,0.4946,0.1734,0.4772,0.4772,0.8929,0.9174,0.4921,0.9174,0.9346,0.5992,0.6045,0.2563,0.5917,0.5961,2
77,0.4249,0.3931,0.4249,0.2395,0.4986,0.6878,0.1356,0.6878,0.5622,0.6895,0.4933,0.3261,0.4933,0.3234,0.5482,5
78,0.6611,0.1991,0.6835,0.6835,0.6611,1.0,0.4867,1.0,1.0,1.0,0.7492,0.2739,0.7658,0.7658,0.7492,3
79,0.8239,0.7409,0.8226,0.7409,0.2419,0.9384,0.9682,0.9682,0.9682,0.5407,0.8537,0.8,0.8605,0.8,0.3196,3
80,0.2855,0.6322,0.6383,0.6383,0.6322,0.6241,0.9859,0.9722,0.9859,0.9859,0.3735,0.7242,0.7251,0.7287,0.7242,4
81,0.5897,0.596,0.6004,0.1516,0.5939,0.9167,0.9167,0.9167,0.4365,0.9167,0.6747,0.6794,0.6826,0.2257,0.6778,3
82,0.6839,0.6275,0.6839,0.2304,0.6275,1.0,1.0,1.0,0.5434,1.0,0.7661,0.7243,0.7661,0.3118,0.7243,1
83,0.2597,0.7096,0.6456,0.648,0.648,0.5784,0.871,0.931,0.9153,0.9153,0.3426,0.7516,0.7198,0.7175,0.7175,2
84,0.4767,0.1958,0.4562,0.4562,0.4855,0.8685,0.518,0.9296,0.9296,0.9296,0.5786,0.2796,0.5793,0.5793,0.601,5
85,0.1628,0.6246,0.5964,0.5954,0.5954,0.458,0.9061,0.8284,0.9061,0.9061,0.2396,0.6978,0.6567,0.6762,0.6762,2
86,0.4417,0.4057,0.4337,0.5265,0.4057,0.9071,0.9071,0.6246,0.83,0.9071,0.5627,0.5361,0.4833,0.6054,0.5361,4
87,0.4036,0.4109,0.4147,0.4164,0.4036,0.9588,0.9667,0.9435,0.9435,0.9588,0.548,0.5554,0.5522,0.5534,0.548,2
88,0.6826,0.3424,0.6536,0.736,0.7049,0.813,0.6518,0.813,0.813,0.813,0.7165,0.4228,0.695,0.756,0.733,4
89,0.6998,0.6781,0.1759,0.6769,0.6742,0.9383,0.9383,0.481,0.9268,0.95,0.7618,0.7458,0.2552,0.7419,0.7459,1
90,0.7023,0.7011,0.728,0.7067,0.2582,0.9552,0.9697,0.9552,0.9412,0.5635,0.7681,0.7709,0.7871,0.7677,0.3376,3
91,0.7189,0.6694,0.6895,0.6895,0.6767,0.9655,0.9333,0.9655,0.9655,0.6789,0.783,0.738,0.7613,0.7613,0.6773,1
92,0.7329,0.6713,0.6676,0.6934,0.6676,0.7333,0.9155,0.9559,0.9559,0.9559,0.733,0.7348,0.7426,0.7617,0.7426,4
93,0.5256,0.5256,0.6099,0.5256,0.4971,0.8935,0.8935,0.6806,0.8935,0.8075,0.6213,0.6213,0.6283,0.6213,0.5778,3
94,0.6625,0.6952,0.6797,0.6625,0.7107,0.884,0.9041,0.9228,0.9031,0.8853,0.7201,0.7495,0.7429,0.7251,0.7561,5
95,0.6145,0.608,0.6262,0.6145,0.6533,0.9395,0.9008,0.9309,0.9395,0.8776,0.699,0.6841,0.7054,0.699,0.7116,5
96,0.5051,0.4898,0.5039,0.5039,0.4908,0.8885,0.8885,0.9312,0.9312,0.9222,0.6048,0.5935,0.615,0.615,0.603,3
97,0.6263,0.6427,0.6418,0.6263,0.6427,0.907,0.9398,0.9398,0.907,0.9398,0.6993,0.7199,0.7193,0.6993,0.7199,2
98,0.4024,0.4024,0.4024,0.4036,0.4036,0.9636,0.955,0.955,0.9725,0.9636,0.5483,0.5461,0.5461,0.5515,0.5492,4
99,0.8148,0.7268,0.8148,0.7495,0.7268,0.8815,0.9144,0.8815,0.9151,0.9144,0.8321,0.7756,0.8321,0.7926,0.7756,1
100,0.5165,0.5748,0.5052,0.5405,0.5052,0.7854,0.8798,0.936,0.936,0.936,0.5864,0.6541,0.6172,0.6433,0.6172,2
